Left: 300000, Right: 200000
Block 18 contains:

The Net Name is: input_syndromes_unit\/mem_in_0\/mem\[325\]
The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[107\]
149814,310716,2,0,144,36,
149904,308700,2,1,1872,1,
149904,308700,3,1,160812,0,
149760,310716,2,1,144,1,
149616,308700,2,1,288,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[108\]
161244,309780,2,1,756,1,
160992,308556,2,1,36,1,
162000,310716,2,1,720,1,
162000,309780,3,1,148716,0,
160992,309780,2,1,252,1,
160992,308556,3,1,148788,0,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1090\]
76641,314244,2,0,90,36,
76608,321660,2,1,864,1,
74736,321660,2,1,1872,1,
76608,314244,3,1,245052,0,
74736,321012,3,1,246924,0,
74628,321012,2,1,108,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1092\]
81360,316404,1,1,432,1,
81792,316404,2,1,3456,1,
81360,316404,1,1,235332,0,
81360,315972,1,1,235044,0,
81108,316692,1,1,252,1,
81072,315972,2,1,288,1,
81072,315324,3,1,234900,0,
79380,315324,2,1,1692,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1094\]
74736,324900,2,1,972,1,
74736,322596,2,1,108,1,
74736,323532,3,1,250164,0,
74736,322596,3,1,248796,0,
72900,323532,2,1,1836,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1095\]
82573,322884,2,0,170,36,
81648,322884,2,1,972,1,
81648,322884,1,1,241884,0,
81360,323532,1,1,288,1,
79632,322884,2,1,2016,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[109\]
162692,303300,2,0,64,36,
161568,306252,3,1,146052,0,
162720,306252,2,1,1332,1,
162720,303300,3,1,143532,0,
161568,306252,2,1,1152,1,
161460,307620,2,1,108,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1105\]
89280,300996,2,1,36,1,
89280,299772,3,1,211716,0,
89280,299772,2,1,1764,1,
89280,298980,3,1,210492,0,
88668,298980,2,1,612,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1106\]
81360,300060,2,1,576,1,
78912,301284,2,1,2448,1,
81360,300060,3,1,219924,0,
78912,301572,1,1,252,1,
78912,301284,1,1,222660,0,
78912,300996,1,1,222372,0,
76572,300996,2,1,2340,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[110\]
166670,277812,2,0,152,36,
170352,276588,2,1,612,1,
166608,277812,2,1,3744,1,
170352,276588,3,1,107460,0,
166608,308412,2,1,684,1,
166608,277812,3,1,141804,0,
165600,308412,2,1,1008,1,
165600,307620,3,1,142812,0,
165348,307620,2,1,252,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1112\]
97200,310616,3,0,36,170,
91268,310068,2,0,64,36,
97200,311148,2,1,1188,1,
91296,310572,2,1,5904,1,
91296,310068,3,1,219276,0,
90000,310572,3,1,221004,0,
97200,310572,3,1,213948,0,
91296,310068,1,1,218916,0,
91044,310212,1,1,252,1,
90000,310572,2,1,1296,1,
89100,311004,2,1,900,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1113\]
82303,310860,2,0,152,36,
79920,310860,2,1,288,1,
80208,310860,2,1,2160,1,
79920,310860,3,1,232452,0,
79812,312372,2,1,108,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1115\]
79200,312732,3,1,234756,0,
79200,312732,2,1,1044,1,
79200,312084,3,1,233532,0,
78948,313956,2,1,252,1,
78048,312084,2,1,1152,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1116\]
85392,311148,2,1,684,1,
85392,312732,2,1,2412,1,
85392,311940,3,1,227340,0,
85392,311148,3,1,226548,0,
85212,311940,2,1,180,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[111\]
154224,306684,2,1,324,1,
153468,305892,2,1,756,1,
153072,296028,2,1,180,1,
154224,305892,3,1,152460,0,
153072,305892,2,1,396,1,
153072,296028,3,1,152820,0,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1120\]
106207,312732,2,0,152,36,
75600,313142,3,0,36,58,
103968,312732,2,1,2304,1,
103536,312732,3,1,209628,0,
106272,311940,3,1,206460,0,
105948,311940,2,1,324,1,
103968,312732,1,1,252,1,
103536,312732,2,1,432,1,
75600,313164,4,1,27936,1,
74844,313164,2,1,756,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1121\]
100193,310860,4,0,79,48,
105264,311004,2,1,252,1,
100368,310572,2,1,4896,1,
100224,310860,5,1,210960,0,
80352,311184,5,1,231468,0,
76752,311820,3,1,235476,0,
105264,310572,3,1,205740,0,
100368,310572,3,1,210492,0,
100332,310572,2,1,36,1,
100224,310860,4,1,144,1,
80352,311184,6,1,19872,1,
76752,311820,4,1,3600,1,
73980,312228,2,1,2772,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1122\]
107856,309924,2,1,1584,1,
107856,310572,3,1,203388,0,
107856,309924,3,1,202716,0,
107676,310572,2,1,180,1,
85104,311244,4,1,22752,1,
85104,311148,3,1,226140,0,
83484,311148,2,1,1620,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1124\]
105408,301284,2,1,288,1,
102708,300492,2,1,2700,1,
105408,300492,3,1,195876,0,
93312,300492,2,1,9396,1,
93312,300108,3,1,207180,0,
90000,300108,4,1,3312,1,
90000,299916,3,1,210108,0,
85644,299916,2,1,4356,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1125\]
120528,301140,2,1,1836,1,
120528,299772,3,1,180612,0,
120528,288468,3,1,179244,0,
119988,299772,2,1,540,1,
117648,288468,2,1,2880,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1126\]
121536,304524,2,1,1044,1,
121536,299124,2,1,144,1,
121392,304524,2,1,144,1,
121536,299124,3,1,182988,0,
121392,304524,3,1,184500,0,
119988,305892,2,1,1404,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1127\]
122832,303300,2,1,180,1,
122976,292788,2,1,36,1,
122832,301752,2,1,144,1,
122976,292788,3,1,178776,0,
122832,302076,3,1,180468,0,
122832,301752,3,1,179244,0,
121104,302076,2,1,1728,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[112\]
173808,312146,3,0,36,152,
173582,312084,2,0,152,36,
175536,310572,3,1,136548,0,
173808,312084,3,1,139500,0,
175536,310572,2,1,396,1,
173808,312084,2,1,1728,1,
173772,313308,2,1,36,1,
173520,312084,2,1,288,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[113\]
176400,301140,2,1,180,1,
175680,299772,2,1,720,1,
175680,283068,2,1,36,1,
176400,299772,3,1,124740,0,
175680,283068,3,1,124092,0,
173988,299772,2,1,1692,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1144\]
69264,305460,2,1,180,1,
68832,304092,2,1,432,1,
69264,304092,3,1,236196,0,
68832,280908,3,1,235260,0,
68580,280908,2,1,252,1,
67284,304092,2,1,1548,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1145\]
91916,302220,2,0,170,36,
92448,301752,2,1,576,1,
93024,291708,3,1,208728,0,
92988,291708,2,1,36,1,
92448,303444,2,1,1008,1,
92448,302220,3,1,210996,0,
92448,301752,3,1,209772,0,
91872,302220,2,1,576,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1146\]
85039,307620,2,0,152,36,
85104,305460,2,1,324,1,
84528,307620,2,1,576,1,
85104,305460,3,1,222516,0,
84528,308412,2,1,2412,1,
84528,307620,3,1,223884,0,
84348,307620,2,1,180,1,

The Net Name is: input_syndromes_unit\/mem_in_1\/mem\[1147\]
90288,304992,1,1,215172,0,
90288,304236,1,1,214704,0,
90288,305460,2,1,1620,1,
90288,304236,1,1,288,1,
78912,304992,2,1,11376,1,
