135360,109044,1,1,144,1,
134208,109188,2,1,1152,1,
133344,109044,2,1,864,1,
131328,103788,2,1,2016,1,
133344,90828,3,1,-29556,0,
133200,109044,2,1,144,1,
132912,87588,3,1,-43308,0,
132912,86220,3,1,-45324,0,
130752,109044,3,1,-20772,0,
135360,109044,1,1,-26172,0,
134208,109044,3,1,-25020,0,
133344,103788,3,1,-24300,0,
133344,90828,2,1,2016,1,
133344,89604,3,1,-42516,0,
132912,89604,2,1,432,1,
132912,87588,2,1,1584,1,
132912,86220,1,1,684,1,
132768,89604,2,1,144,1,
131328,103788,3,1,-27036,0,
130752,109044,2,1,2448,1,
130752,86220,2,1,2160,1,
130608,109980,2,1,144,1,
129708,104292,2,1,1620,1,
